Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
rs SRB,Strahinja Pavlović,DF,Milan,1864,20.7,2,1,1.8,1.1,40,94,10,17,8,88.2,6,5,52,31,16,68,82,1589,4,33.3,1036,1147,20
it ITA,Leonardo Pavoletti,"FW,MF",Cagliari,445,4.9,2,0,2.7,1.0,1,17,26,18,7,58.2,9,6,1,0,0,1,3,225,0,0.0,86,168,25
ar ARG,Martín Payero,MF,Udinese,1381,15.3,1,1,1.2,1.3,33,51,44,31,5,77.8,15,8,24,16,13,37,13,649,30,42.9,368,390,35
fr FRA,Nicolas Pays,"FW,MF",Montpellier,447,5.0,0,0,1.3,0.1,21,14,53,11,1,77.7,3,5,13,6,4,17,2,247,10,38.5,170,188,2
ar ARG,Nicolás Paz,"MF,FW",Como,2687,29.9,6,8,9.3,6.0,77,163,171,109,37,80.6,54,38,51,33,21,72,16,1683,69,51.1,1093,1265,47
dk DEN,Mads Pedersen,DF,Augsburg,235,2.6,0,0,0.1,0.0,1,11,10,2,0,77.8,0,2,8,7,2,10,6,123,2,25.0,53,58,5
no NOR,Marcus Pedersen,DF,Torino,1362,15.1,0,0,0.6,0.4,44,19,77,8,3,72.9,7,8,13,8,13,26,34,655,7,28.0,365,391,16
es ESP,Alfonso Pedraza,"DF,MF",Villarreal,460,5.1,0,2,0.5,1.4,21,9,43,5,2,73.7,9,8,3,2,6,9,16,274,9,47.4,155,165,4
es ESP,Pedri,MF,Barcelona,2879,32.0,4,5,2.2,7.4,92,360,136,25,11,87.4,70,79,61,34,26,87,21,3060,40,65.6,2012,2389,10
es ESP,Pedro,"FW,MF",Lazio,1102,12.2,10,1,5.3,1.7,48,76,89,37,16,79.8,22,25,19,14,3,22,3,722,16,50.0,435,546,17
fr FRA,Kévin Pedro,DF,Saint-Étienne,10,0.1,0,0,0.0,0.0,2,0,1,0,0,54.5,0,0,3,0,2,5,1,17,1,100.0,8,4,1
es ESP,Adrià Pedrosa,DF,Sevilla,2298,25.5,1,1,0.9,1.6,41,79,96,24,7,74.1,20,22,56,32,24,80,85,1526,17,45.9,617,826,38
us USA,Jordan Pefok,FW,Reims,380,4.2,1,0,0.9,0.7,3,4,7,11,2,78.0,3,1,3,2,2,5,5,90,2,50.0,52,58,11
us USA,Jordan Pefok,FW,Union Berlin,908,10.1,0,1,3.2,0.9,3,12,40,23,7,69.1,14,2,11,6,4,15,18,326,7,53.8,158,212,22
es ESP,Pejiño,FW,Las Palmas,16,0.2,0,0,0.0,0.0,1,1,2,1,0,85.7,0,1,1,1,0,1,0,9,0,,9,7,1
it ITA,Pietro Pellegri,FW,Empoli,414,4.6,3,0,0.3,0.6,12,8,28,8,4,69.4,7,2,7,2,0,7,3,128,5,35.7,80,91,10
it ITA,Lorenzo Pellegrini,MF,Roma,1626,18.1,2,1,4.7,2.5,27,61,82,41,13,79.5,27,19,24,16,6,30,22,825,11,40.7,463,589,26
it ITA,Luca Pellegrini,DF,Lazio,1067,11.9,0,4,0.7,1.8,21,72,61,13,4,75.5,20,21,23,11,19,42,32,851,11,39.3,420,516,18
ar ARG,Mateo Pellegrino,FW,Parma,737,8.2,3,1,3.3,0.7,6,15,37,22,9,54.3,5,6,3,2,1,4,6,263,3,33.3,164,210,27
fr FRA,Théo Pellenard,DF,Auxerre,45,0.5,0,0,0.0,0.0,1,1,1,0,0,75.0,0,1,3,2,0,3,3,28,0,,7,11,4
fr FRA,Andy Pelmard,DF,Lecce,129,1.4,0,0,0.0,0.0,1,1,0,0,0,79.4,0,0,6,6,0,6,5,48,1,100.0,19,19,2
fr FRA,Andy Pelmard,DF,Las Palmas,205,2.3,0,0,0.0,0.0,1,13,5,1,0,85.2,1,4,5,0,2,7,20,152,1,50.0,71,90,2
fr FRA,Timothee Pembele,DF,Le Havre,1113,12.4,1,0,1.3,0.1,27,43,44,8,3,81.5,3,7,30,22,11,41,42,680,15,51.7,368,398,9
cm CMR,Faris Pemi Moumbagna,FW,Marseille,8,0.1,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1
es ESP,Iñaki Peña,GK,Barcelona,1396,15.5,0,0,0.0,0.0,0,3,0,0,0,89.2,0,0,0,0,0,0,20,667,0,,399,362,0
es ESP,Rubén Peña,"FW,DF",Osasuna,775,8.6,0,0,0.7,0.6,18,27,57,10,3,59.2,13,10,12,5,6,18,12,418,10,37.0,219,256,12
ci CIV,Nicolas Pépé,"FW,MF",Villarreal,1500,16.7,3,6,3.8,4.8,76,60,159,38,17,79.1,33,27,22,9,5,27,12,842,27,42.2,518,622,20
es ESP,Peque,"MF,FW",Sevilla,1134,12.6,1,1,2.5,1.2,14,35,44,19,4,79.9,12,6,16,5,8,24,5,485,11,42.3,266,346,22
md MDA,Sergiu Perciun,"FW,MF",Torino,152,1.7,0,0,0.0,0.1,2,4,12,2,1,65.4,2,3,2,2,1,3,2,72,2,40.0,48,52,3
co COL,Óscar Perea,"MF,DF",Strasbourg,14,0.2,0,0,0.0,0.0,1,2,4,1,0,100.0,0,0,0,0,0,0,0,13,2,100.0,8,10,0
br BRA,Andreas Pereira,MF,Fulham,2013,22.4,2,4,3.8,4.6,29,104,81,38,8,69.1,57,19,24,13,8,32,17,1148,14,46.7,578,676,28
pt POR,Mathias Pereira Lage,"FW,MF",Brest,1571,17.5,2,7,3.3,3.5,32,41,100,36,15,62.9,22,14,37,24,20,57,20,714,10,35.7,317,387,30
pt POR,Pedro Pereira,DF,Monza,2665,29.6,1,3,1.2,1.6,52,66,107,13,6,80.7,14,15,53,32,21,74,85,1409,14,56.0,798,872,48
pt POR,Ricardo Pereira,DF,Leicester City,388,4.3,0,0,0.1,0.0,3,18,5,2,1,83.5,0,1,13,8,4,17,11,296,6,66.7,151,172,6
uy URU,Gastón Pereiro,MF,Genoa,31,0.3,0,0,0.0,0.0,0,2,2,0,0,73.3,0,0,1,0,0,1,1,17,0,,7,13,0
il ISR,Daniel Peretz,GK,Bayern Munich,270,3.0,0,0,0.0,0.0,0,1,0,0,0,76.7,0,0,0,0,0,0,2,106,0,,67,77,0
es ESP,Ayoze Pérez,FW,Villarreal,1970,21.9,19,2,12.7,3.0,59,73,124,75,31,75.8,32,21,27,14,8,35,15,705,34,43.6,429,514,22
es ESP,Carles Pérez,"MF,FW",Getafe,1431,15.9,3,0,2.4,1.5,31,20,77,34,9,67.3,17,14,33,23,6,39,22,551,21,42.0,298,327,44
es ESP,Francisco Perez,"FW,MF",Valencia,570,6.3,0,0,0.3,2.6,24,13,71,6,1,73.5,7,6,17,12,3,20,6,327,8,36.4,198,230,6
es ESP,Kike Pérez,MF,Venezia,1114,12.4,1,0,0.9,1.2,18,60,31,13,7,74.8,16,13,41,25,10,51,15,793,13,46.4,443,474,31
es ESP,Kike Pérez,MF,Valladolid,1191,13.2,2,0,2.1,1.0,19,67,28,20,4,78.0,17,5,37,26,7,44,18,723,8,36.4,344,441,32
es ESP,Luis Pérez,DF,Valladolid,2558,28.4,0,0,0.2,2.1,41,89,117,5,2,75.7,27,32,41,30,29,70,86,1444,12,57.1,585,792,13
ar ARG,Nehuén Pérez,DF,Udinese,180,2.0,0,0,0.0,0.0,2,4,2,0,0,81.7,0,0,1,1,1,2,7,74,1,100.0,28,34,3
it ITA,Simone Perilli,GK,Hellas Verona,180,2.0,0,0,0.0,0.0,0,0,0,0,0,26.5,0,0,0,0,0,0,1,56,0,,22,14,0
it ITA,Mattia Perin,GK,Juventus,450,5.0,0,0,0.0,0.0,0,0,0,0,0,79.7,0,0,0,0,0,0,2,185,0,,123,110,0
fr FRA,Romain Perraud,DF,Betis,2002,22.2,2,2,0.6,1.6,51,62,106,20,5,79.6,16,16,36,22,22,58,71,1419,11,31.4,766,842,26
br BRA,Lucas Perri,GK,Lyon,2970,33.0,0,0,0.0,0.0,0,0,0,0,0,76.8,1,0,1,1,0,1,22,1123,0,,696,576,1
fr FRA,Gaëtan Perrin,"MF,FW",Auxerre,2691,29.9,10,11,6.1,7.8,83,142,125,59,26,70.6,73,34,49,26,12,61,4,1327,60,47.2,798,888,24
ar ARG,Máximo Perrone,MF,Como,1857,20.6,0,3,0.9,2.2,16,98,19,10,2,90.4,30,16,38,27,20,58,43,1502,3,37.5,934,1165,26
hr CRO,Noah Pesch,FW,Gladbach,6,0.1,0,0,0.0,0.0,0,1,1,0,0,50.0,0,1,1,0,0,1,0,5,0,,2,2,1
it ITA,Matteo Pessina,MF,Monza,854,9.5,0,0,0.2,0.1,8,28,20,3,0,86.5,4,4,15,4,12,27,7,559,5,50.0,333,397,5
it ITA,Andrea Petagna,FW,Monza,335,3.7,0,0,0.2,0.0,2,1,17,4,0,64.3,1,0,2,1,1,3,2,100,2,50.0,66,74,6
ng NGA,Prosper Peter,"MF,FW",Angers,27,0.3,0,0,0.0,0.0,0,0,1,0,0,50.0,0,0,2,1,0,2,0,4,0,0.0,2,2,1
fr FRA,Léo Pétrot,DF,Saint-Étienne,2634,29.3,0,3,0.6,1.6,28,93,100,7,3,80.4,16,17,62,39,42,104,103,1708,7,50.0,766,974,22
rs SRB,Đorđe Petrović,GK,Strasbourg,2790,31.0,0,0,0.0,0.0,1,1,0,0,0,80.4,0,1,1,1,0,1,24,1647,1,100.0,1094,1110,0
it ITA,Giuseppe Pezzella,"DF,FW",Empoli,2878,32.0,0,3,0.6,4.6,77,80,143,15,3,66.5,36,30,55,31,15,70,110,1579,17,33.3,673,778,49
es ESP,Valentín Pezzolesi,DF,Las Palmas,6,0.1,0,0,0.0,0.0,0,0,0,0,0,40.0,0,0,0,0,0,0,1,6,0,,2,1,0
de GER,Luca Philipp,GK,Hoffenheim,540,6.0,0,0,0.0,0.0,0,0,0,0,0,63.4,0,0,1,0,0,1,1,215,0,,100,89,0
de GER,Maximilian Philipp,"MF,FW",Freiburg,17,0.2,0,0,0.0,0.0,0,0,0,1,0,42.9,0,0,0,0,0,0,0,9,0,,3,6,0
eng ENG,Kalvin Phillips,MF,Ipswich Town,1237,13.7,0,0,0.4,0.2,4,51,4,11,2,79.1,5,6,35,19,19,54,37,739,5,41.7,310,394,28
eng ENG,Jaden Philogene Bidace,"FW,MF",Aston Villa,332,3.7,0,0,0.5,0.3,7,4,17,7,0,73.3,1,3,11,5,3,14,2,145,4,26.7,75,83,12
eng ENG,Jaden Philogene Bidace,"FW,DF",Ipswich Town,474,5.3,2,0,2.0,0.2,13,10,36,12,5,72.5,5,4,14,7,10,24,9,220,5,27.8,127,133,8
es ESP,Pica,DF,Alavés,499,5.5,0,0,0.3,0.0,3,15,0,4,1,77.1,1,1,9,7,9,18,26,263,1,100.0,124,133,6
it ITA,Roberto Piccoli,FW,Cagliari,3127,34.7,10,1,12.7,0.9,30,37,165,97,28,66.3,13,7,13,9,3,16,31,919,14,22.2,511,666,60
at AUT,Benedikt Pichler,FW,Holstein Kiel,785,8.7,1,2,2.3,1.1,18,19,58,20,9,63.2,12,7,5,2,2,7,11,310,8,44.4,152,230,14
eng ENG,Jordan Pickford,GK,Everton,3420,38.0,0,1,0.0,0.4,0,0,0,0,0,66.3,2,8,1,0,1,2,30,1708,0,,989,871,0
de GER,Amos Pieper,DF,Werder Bremen,1498,16.6,0,0,0.4,0.6,11,62,3,7,1,84.8,4,8,32,17,24,56,98,1136,2,66.7,570,671,11
de GER,Marvin Pieringer,"FW,MF",Heidenheim,2206,24.5,7,4,8.9,4.0,23,59,115,57,17,65.8,30,12,23,13,8,31,32,849,16,45.7,467,607,50
it ITA,Nicholas Pierini,MF,Venezia,83,0.9,0,0,0.0,0.1,1,2,4,1,0,75.0,2,0,0,0,0,0,0,28,0,0.0,16,18,1
ar ARG,Santiago Pierotti,FW,Lecce,1937,21.5,4,2,3.1,2.4,43,38,85,32,7,71.3,25,9,46,24,14,60,32,730,22,44.9,353,406,55
fr FRA,Balthazar Pierret,MF,Lecce,1723,19.1,0,0,0.2,0.4,13,82,13,6,0,83.6,10,5,51,31,19,70,31,1020,13,54.2,512,635,34
it ITA,Andrea Pinamonti,FW,Genoa,2850,31.7,10,1,7.7,1.7,20,46,132,78,29,62.8,15,9,10,6,1,11,28,952,11,47.8,491,710,21
jm JAM,Ethan Pinnock,DF,Brentford,1913,21.3,2,0,1.1,1.2,3,41,9,10,6,85.6,8,4,35,19,24,59,142,1348,3,33.3,633,760,8
es ESP,Yeremi Pino,"MF,FW",Villarreal,1934,21.5,4,7,3.9,5.3,42,66,213,29,8,73.9,37,32,60,32,8,68,18,986,25,43.1,565,668,49
it ITA,Nicola Pintus,DF,Cagliari,4,0.0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,2,3,0,,1,1,0
it ITA,Niccolò Pisilli,MF,Roma,1227,13.6,2,1,2.7,0.7,22,63,44,27,7,83.5,10,8,24,11,11,35,16,718,5,35.7,389,507,19
cl CHI,Damián Pizarro,"FW,MF",Udinese,16,0.2,0,0,0.0,0.0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,3,0,,0,1,0
it ITA,Semuel Pizzignacco,GK,Monza,736,8.2,0,0,0.0,0.0,0,0,0,0,0,74.2,0,0,0,0,0,0,6,340,0,,210,185,0
fr FRA,Alassane Pléa,"MF,FW",Gladbach,1902,21.1,11,4,7.4,3.1,51,116,141,41,12,72.1,25,35,7,3,2,9,7,979,17,39.5,601,773,17
it ITA,Tommaso Pobega,MF,Bologna,1178,13.1,2,2,2.1,1.4,12,42,23,24,8,82.1,12,5,33,19,14,47,16,608,3,37.5,293,358,33
pt POR,Daniel Podence,"MF,FW",Wolves,48,0.5,0,0,0.0,0.0,1,2,3,1,0,68.8,0,1,0,0,0,0,0,20,2,100.0,13,17,0
fi FIN,Joel Pohjanpalo,FW,Venezia,1603,17.8,6,0,7.5,1.7,9,29,72,34,13,60.3,15,7,3,3,4,7,24,491,3,30.0,249,343,12
it ITA,Matteo Politano,"FW,MF",Napoli,2804,31.2,3,4,3.1,4.8,135,129,278,56,14,69.2,56,55,29,15,13,42,50,1561,32,40.0,920,1137,14
eng ENG,Alfie Pond,DF,Wolves,1,0.0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,1,0,,1,1,0
hr CRO,Marin Pongračić,DF,Fiorentina,1292,14.4,0,0,0.2,0.2,7,34,5,2,1,89.2,5,3,18,13,12,30,69,922,9,64.3,560,585,26
eng ENG,Nick Pope,GK,Newcastle Utd,2520,28.0,0,0,0.0,0.0,0,1,0,0,0,73.5,1,0,0,0,1,1,32,872,0,,439,305,2
de GER,Finn Porath,"DF,MF",Holstein Kiel,1970,21.9,2,3,1.9,2.0,42,58,69,29,12,66.9,22,22,45,26,21,66,67,999,16,44.4,418,507,31
es ESP,Pedro Porro,DF,Tottenham,2610,29.0,2,6,1.6,5.0,65,154,109,39,8,73.2,57,57,66,49,36,102,84,2237,14,35.0,1187,1291,25
es ESP,Portu,"FW,MF",Girona,779,8.7,1,2,1.6,1.7,20,16,79,8,3,71.3,14,7,13,7,0,13,2,301,4,40.0,168,214,14
at AUT,Stefan Posch,DF,Bologna,714,7.9,0,0,0.3,0.7,11,36,35,2,0,78.4,10,11,26,15,5,31,22,602,3,27.3,295,348,16
at AUT,Stefan Posch,DF,Atalanta,387,4.3,0,0,0.2,0.0,5,23,5,3,2,83.7,0,2,18,11,4,22,13,299,1,50.0,202,199,11
fr FRA,Tom Pouilly,"DF,MF",Lens,273,3.0,0,0,0.4,0.4,12,11,34,5,2,78.4,3,9,9,6,4,13,11,257,2,66.7,152,171,3
dk DEN,Yussuf Poulsen,"FW,MF",RB Leipzig,378,4.2,2,0,3.3,0.6,2,12,30,15,8,59.6,7,5,10,5,0,10,14,221,1,16.7,89,148,8
es ESP,Beñat Prados,MF,Athletic Club,1715,19.1,1,0,1.0,1.1,20,78,32,16,5,82.0,11,6,55,36,28,83,26,991,15,50.0,480,604,40
at AUT,Alexander Prass,DF,Hoffenheim,1566,17.4,0,1,0.9,2.8,28,63,66,12,1,72.7,18,27,42,23,9,51,53,1199,20,47.6,605,689,17
it ITA,Matteo Prati,MF,Cagliari,570,6.3,0,0,0.1,0.7,2,23,7,4,0,72.0,6,4,10,4,7,17,10,313,3,27.3,155,177,8
es ESP,Abdón Prats,"FW,MF",Mallorca,456,5.1,2,0,2.2,0.1,0,7,14,13,4,66.7,3,1,2,1,1,3,5,146,1,33.3,77,104,6
de GER,David Preu,"MF,DF",Union Berlin,121,1.3,0,0,0.1,0.0,1,3,9,2,0,54.1,0,1,1,1,0,1,2,63,2,28.6,31,32,1
de GER,Grischa Prömel,MF,Hoffenheim,174,1.9,0,0,0.0,0.0,2,5,3,0,0,84.2,0,0,0,0,2,2,4,106,0,0.0,70,82,0
it ITA,Ivan Provedel,GK,Lazio,2610,29.0,0,0,0.0,0.3,0,4,0,0,0,77.4,3,2,0,0,1,1,12,1167,0,,744,749,0
hr CRO,Ivan Prtajin,FW,Union Berlin,161,1.8,0,0,0.5,0.1,1,1,17,8,2,37.5,1,1,3,2,0,3,3,78,1,100.0,38,55,1
es ESP,Javi Puado,"FW,MF",Espanyol,2974,33.0,12,4,11.6,3.0,73,75,113,66,19,76.8,22,15,22,17,5,27,19,985,21,34.4,623,703,22
pl POL,Tymoteusz Puchacz,DF,Holstein Kiel,396,4.4,0,1,0.1,0.6,13,8,30,4,1,70.3,8,6,9,4,3,12,11,247,9,47.4,109,125,2
it ITA,Diego Pugno,FW,Juventus,7,0.1,0,0,0.0,0.1,0,0,0,0,0,100.0,1,0,0,0,0,0,0,4,0,0.0,2,1,0
us USA,Christian Pulisic,"FW,MF",Milan,2478,27.5,11,9,12.0,6.4,121,105,191,53,20,76.5,69,35,43,29,5,48,13,1367,39,44.8,859,985,20
eng ENG,Jarell Quansah,DF,Liverpool,495,5.5,0,0,0.1,0.1,3,19,4,1,0,90.8,2,1,12,8,7,19,28,464,1,33.3,268,321,9
at AUT,Leopold Querfeld,DF,Union Berlin,1747,19.4,2,2,1.1,1.0,3,49,5,16,4,80.8,10,5,25,12,19,44,144,1066,3,33.3,531,574,20
es ESP,Dani Raba,"FW,MF",Leganés,1879,20.9,8,6,7.5,5.3,42,69,101,39,12,67.1,47,24,37,23,14,51,19,930,46,50.5,523,572,40
fr FRA,Adrien Rabiot,MF,Marseille,2485,27.6,9,4,7.3,3.8,79,168,174,48,22,84.8,28,24,49,31,21,70,32,1822,26,52.0,1096,1445,53
ro ROU,Ionuț Radu,GK,Venezia,1350,15.0,0,0,0.0,0.0,0,0,0,0,0,57.7,0,0,0,0,0,0,9,587,1,100.0,370,302,0
tn TUN,Hamza Rafia,MF,Lecce,1058,11.8,0,0,0.5,1.4,13,51,32,10,2,77.6,16,15,44,27,4,48,18,651,10,45.5,317,411,26
is ISL,Hákon Rafn Valdimarsson,GK,Brentford,145,1.6,0,0,0.0,0.0,0,0,0,0,0,65.7,0,0,0,0,0,0,2,72,0,,44,36,0
es ESP,Arnau Rafús,GK,Valladolid,90,1.0,0,0,0.0,0.0,0,0,0,0,0,76.7,0,0,0,0,0,0,0,43,0,,22,27,0
es ESP,Antonio Raillo,DF,Mallorca,3207,35.6,2,0,2.0,1.6,31,108,20,35,8,88.7,13,6,31,18,29,60,222,2185,2,66.7,1108,1282,50
it ITA,Antonio Raimondo,"FW,DF",Venezia,94,1.0,0,0,0.3,0.1,2,2,7,1,1,65.4,1,0,2,1,0,2,0,34,0,,21,28,2
al ALB,Ylber Ramadani,MF,Lecce,1807,20.1,1,1,0.6,1.1,9,60,7,17,6,82.1,16,4,51,28,24,75,26,1038,13,54.2,537,651,18
es ESP,Benito Ramírez,"DF,FW",Las Palmas,478,5.3,0,0,0.3,0.9,14,16,62,10,1,79.4,13,8,10,5,1,11,14,406,3,20.0,211,251,5
es ESP,Sandro Ramírez,"FW,MF",Las Palmas,2034,22.6,9,3,4.1,3.4,52,52,121,51,20,64.2,28,10,27,15,16,43,22,930,16,34.0,469,575,26
es ESP,Jacobo Ramón,DF,Real Madrid,204,2.3,1,0,0.2,0.2,0,1,2,2,1,93.3,1,0,7,3,3,10,8,117,0,,59,71,2
pt POR,Gonçalo Ramos,FW,Paris S-G,1066,11.8,10,3,13.6,2.2,11,24,63,52,29,80.1,15,9,11,6,0,11,5,353,1,9.1,155,282,8
eng ENG,Aaron Ramsdale,GK,Southampton,2700,30.0,0,0,0.0,0.0,0,0,0,0,0,63.3,0,1,0,0,2,2,10,1314,0,,786,702,1
eng ENG,Jacob Ramsey,"FW,MF",Aston Villa,1623,18.0,1,3,1.6,2.3,61,68,114,19,4,84.8,21,21,30,15,8,38,8,762,25,54.3,496,577,13
it ITA,Luca Ranieri,DF,Fiorentina,2981,33.1,0,3,1.1,1.7,25,80,11,10,4,85.4,16,11,42,24,27,69,154,2124,9,47.4,1234,1404,24
am ARM,Grant Ranos,FW,Gladbach,20,0.2,0,0,0.0,0.0,1,1,2,0,0,66.7,0,0,1,0,0,1,0,17,0,,10,11,1
fr FRA,Lilian Raolisoa,"DF,FW",Angers,1318,14.6,0,3,0.7,2.0,33,47,62,14,1,69.5,14,16,41,24,15,56,45,751,23,43.4,404,435,16
br BRA,Raphinha,"FW,MF",Barcelona,2839,31.5,18,9,19.2,12.7,94,135,349,112,40,71.1,91,67,36,22,11,47,26,1863,52,50.5,1016,1316,11
eng ENG,Marcus Rashford,"FW,MF",Manchester Utd,978,10.9,4,1,1.7,2.1,20,21,79,16,9,73.8,15,16,7,4,4,11,7,440,9,23.1,293,341,8
eng ENG,Marcus Rashford,FW,Aston Villa,444,4.9,2,2,3.1,2.3,22,13,42,18,5,71.3,13,9,10,7,1,11,3,227,9,40.9,127,149,1
it ITA,Giacomo Raspadori,"FW,MF",Napoli,1103,12.3,6,1,4.0,2.4,18,42,57,42,14,68.3,28,7,18,9,3,21,13,549,9,64.3,263,343,12
ro ROU,Andrei Ratiu,DF,Rayo Vallecano,3065,34.1,2,3,1.8,5.7,122,145,167,31,7,81.6,36,23,71,41,27,98,73,2193,76,51.7,1190,1365,24
es ESP,Raúl,"FW,MF",Osasuna,750,8.3,4,0,3.5,0.7,10,16,49,25,12,69.0,3,1,13,8,0,13,6,266,11,55.0,153,196,11
de GER,David Raum,DF,RB Leipzig,1783,19.8,1,5,0.5,6.5,36,71,127,9,4,69.4,48,21,38,28,9,47,47,1389,11,39.3,593,787,23
it ITA,Federico Ravaglia,GK,Bologna,1056,11.7,0,0,0.0,0.0,0,0,0,0,0,78.4,1,0,0,0,0,0,9,488,2,100.0,332,311,0
mg MAD,Rayan Raveloson,"MF,DF",Auxerre,724,8.0,1,0,0.8,0.2,5,31,12,16,5,86.6,3,6,6,5,5,11,22,401,7,53.8,216,240,9
es ESP,David Raya,GK,Arsenal,3420,38.0,0,0,0.0,0.0,0,14,0,0,0,73.6,1,3,0,0,2,2,21,1480,1,100.0,921,841,1
dz ALG,Abderrahman Rebbach,"FW,MF",Alavés,385,4.3,0,0,0.2,0.3,16,5,34,6,1,62.7,6,5,3,2,0,3,6,173,3,21.4,103,107,5
hr CRO,Ante Rebić,"FW,MF",Lecce,788,8.8,1,0,2.1,2.1,17,36,63,13,5,61.1,18,11,12,9,2,14,4,429,8,26.7,223,312,19
eng ENG,Harrison Reed,MF,Fulham,108,1.2,0,0,0.2,0.1,1,4,7,3,2,70.9,1,1,6,3,1,7,3,78,0,0.0,31,38,6
eng ENG,Remy Rees-Dottin,FW,Bournemouth,1,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
es ESP,Sergio Reguilón,DF,Tottenham,196,2.2,0,0,0.1,0.0,5,13,12,2,0,68.4,1,2,4,3,4,8,8,167,2,33.3,88,97,2
nl NED,Tijjani Reijnders,MF,Milan,3128,34.8,10,4,7.5,3.5,111,230,121,77,28,87.5,47,56,26,13,38,64,28,1863,36,50.7,1214,1390,28
es ESP,Pepe Reina,GK,Como,1034,11.5,0,0,0.0,0.0,0,0,0,0,0,76.4,0,0,0,0,0,0,3,381,0,0.0,245,193,1
br BRA,Vitor Reis,DF,Manchester City,1,0.0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,1,3,1,100.0,2,2,0
de GER,Rocco Reitz,MF,Gladbach,1830,20.3,2,1,1.7,2.1,18,91,30,23,7,77.9,16,16,52,24,53,105,59,1199,17,47.2,614,726,20
de GER,Nicolai Remberg,MF,Holstein Kiel,2417,26.9,0,1,1.5,0.8,25,80,31,24,2,77.9,9,10,45,25,29,74,100,1316,7,28.0,552,743,43
es ESP,Álex Remiro,GK,Real Sociedad,3240,36.0,0,0,0.0,0.0,0,1,0,0,0,74.0,1,0,1,0,0,1,18,1364,0,,766,669,0
nl NED,Devyne Rensch,DF,Roma,469,5.2,0,1,0.3,0.8,2,14,25,3,2,81.9,2,4,17,13,7,24,12,319,0,0.0,161,203,1
es ESP,Daniel Requena,MF,Villarreal,10,0.1,0,0,0.0,0.0,0,0,1,0,0,80.0,0,0,0,0,0,0,0,5,0,,2,5,1
fr FRA,Guillaume Restes,GK,Toulouse,2543,28.3,0,1,0.0,0.1,0,0,0,0,0,72.4,1,0,2,1,1,3,16,867,0,0.0,522,438,1
it ITA,Mateo Retegui,FW,Atalanta,2383,26.5,25,8,18.9,4.9,21,46,199,99,32,76.5,38,9,14,9,4,18,17,874,12,40.0,557,704,32
xk KVX,Elvis Rexhbeçaj,MF,Augsburg,1785,19.8,1,1,1.4,1.1,31,94,82,29,5,70.0,16,23,27,19,16,43,22,887,10,31.3,463,539,13
us USA,Gio Reyna,MF,Dortmund,350,3.9,2,0,0.2,0.2,5,22,19,3,2,78.8,2,6,7,0,0,7,9,262,4,57.1,150,181,8
ma MAR,Chadi Riad,DF,Crystal Palace,90,1.0,0,0,0.0,0.0,2,7,0,0,0,85.4,0,1,5,2,2,7,0,90,0,,58,69,1
br BRA,Alexsandro Ribeiro,DF,Lille,2700,30.0,1,1,1.6,0.4,25,178,8,21,4,91.2,9,6,32,19,27,59,143,2712,5,62.5,1737,1982,28
it ITA,Samuele Ricci,MF,Torino,2825,31.4,1,1,1.3,0.6,43,116,30,22,7,88.0,15,13,35,21,25,60,51,1589,6,27.3,960,1073,38
eng ENG,Declan Rice,MF,Arsenal,2825,31.4,4,7,3.5,6.6,90,192,94,48,14,83.4,59,35,53,25,25,78,51,1948,14,48.3,1031,1266,21
us USA,Chris Richards,DF,Crystal Palace,1922,21.4,1,0,1.4,0.1,6,39,2,12,6,79.8,2,1,47,30,19,66,121,1118,1,16.7,517,614,11
ma MAR,Amir Richardson,MF,Fiorentina,1024,11.4,1,1,0.9,0.6,19,47,31,11,5,87.6,8,6,30,13,6,36,29,748,11,57.9,451,524,30
br BRA,Richarlison,FW,Tottenham,504,5.6,4,1,3.7,0.9,8,11,22,17,7,60.2,4,4,5,3,0,5,8,173,1,6.3,89,120,7
es ESP,Diego Rico,DF,Getafe,2819,31.3,0,3,0.4,2.7,27,136,84,16,3,67.6,36,46,81,49,34,115,102,1929,6,42.9,694,772,38
ch SUI,Fabian Rieder,"MF,FW",Stuttgart,867,9.6,1,3,1.4,2.0,20,38,61,20,7,70.6,12,11,17,14,10,27,7,492,9,47.4,253,315,14
de GER,Lasse Rieß,GK,Mainz 05,180,2.0,0,0,0.0,0.0,0,0,0,0,0,63.1,0,0,0,0,0,0,5,90,0,,61,47,0
es ESP,Luis Rioja,FW,Alavés,23,0.3,0,0,0.0,0.1,4,1,3,0,0,45.5,1,0,2,1,0,2,0,15,0,,8,10,1
